timestamp,machine_id,line,machine_family,temperature_c,vibration_mm_s,pressure_bar,current_amp,rul_days,anomaly_score
2026-01-12T00:00:00Z,MA-01,Line-A,Press,79.98,2.04,8.53,112.3,19.0,26.2
2026-01-12T00:00:00Z,MA-02,Line-A,Press,72.05,4.42,7.54,121.34,25.7,38.1
2026-01-12T00:00:00Z,MA-03,Line-A,Press,68.8,2.18,6.58,114.68,28.2,38.1
2026-01-12T00:00:00Z,MA-04,Line-A,Press,64.29,2.53,6.27,84.04,41.6,22.2
2026-01-12T00:00:00Z,MB-01,Line-B,CNC,63.92,2.74,8.03,124.01,30.0,13.7
2026-01-12T00:00:00Z,MB-02,Line-B,CNC,63.76,4.4,8.46,127.28,45.6,27.3
2026-01-12T00:00:00Z,MB-03,Line-B,CNC,71.58,4.15,8.98,120.5,17.2,12.1
2026-01-12T00:00:00Z,MB-04,Line-B,CNC,67.41,4.6,7.61,146.38,22.9,28.7
2026-01-12T00:00:00Z,MC-01,Line-C,HeatTreat,73.52,1.4,8.55,105.31,20.2,3.3
2026-01-12T00:00:00Z,MC-02,Line-C,HeatTreat,74.62,3.4,8.54,116.04,26.2,38.6
2026-01-12T00:00:00Z,MC-03,Line-C,HeatTreat,67.23,1.4,9.03,75.7,19.4,0
2026-01-12T00:00:00Z,MC-04,Line-C,HeatTreat,64.93,7.04,7.73,125.24,29.4,59.9
2026-01-12T00:00:00Z,MD-01,Line-D,Assembly,80.31,2.21,8.3,125.22,24.2,31.2
2026-01-12T00:00:00Z,MD-02,Line-D,Assembly,71.35,2.64,6.3,135.27,29.6,26.5
2026-01-12T00:00:00Z,MD-03,Line-D,Assembly,73.81,1.4,7.81,99.83,4.4,30.1
2026-01-12T00:00:00Z,MD-04,Line-D,Assembly,70.28,4.95,6.75,133.64,21.0,20.7
2026-01-12T01:00:00Z,MA-01,Line-A,Press,75.05,5.03,7.57,137.02,16.3,48.9
2026-01-12T01:00:00Z,MA-02,Line-A,Press,75.21,4.61,7.49,113.58,21.1,23.2
2026-01-12T01:00:00Z,MA-03,Line-A,Press,69.92,3.57,6.94,139.03,41.6,64.7
2026-01-12T01:00:00Z,MA-04,Line-A,Press,68.81,2.86,7.2,122.91,31.8,66.3
2026-01-12T01:00:00Z,MB-01,Line-B,CNC,67.86,1.97,7.05,109.44,50.1,30.6
2026-01-12T01:00:00Z,MB-02,Line-B,CNC,76.56,1.6,6.47,117.43,11.1,30.6
2026-01-12T01:00:00Z,MB-03,Line-B,CNC,68.19,4.96,7.38,160.19,35.4,32.3
2026-01-12T01:00:00Z,MB-04,Line-B,CNC,72.13,2.14,7.48,112.42,29.9,40.6
2026-01-12T01:00:00Z,MC-01,Line-C,HeatTreat,71.22,6.62,7.72,116.86,26.8,33.1
2026-01-12T01:00:00Z,MC-02,Line-C,HeatTreat,63.5,4.75,8.09,152.06,58.7,42.8
2026-01-12T01:00:00Z,MC-03,Line-C,HeatTreat,80.05,4.42,8.05,133.85,41.2,62.8
